Zone;Sub Zone;Category;Date;Count;Location
France;French Guiana;Deaths;2020-04-03;0;3.9339,-53.1258
France;French Guiana;Deaths;2020-04-16;0;3.9339,-53.1258
France;French Guiana;Deaths;2020-03-20;0;3.9339,-53.1258
France;French Guiana;Deaths;2020-04-17;0;3.9339,-53.1258
France;French Guiana;Deaths;2020-07-21;39;3.9339,-53.1258
France;French Guiana;Deaths;2020-07-15;33;3.9339,-53.1258
France;French Guiana;Deaths;2020-08-02;43;3.9339,-53.1258
France;French Guiana;Deaths;2020-02-22;0;3.9339,-53.1258
France;French Guiana;Deaths;2020-05-30;1;3.9339,-53.1258
France;French Guiana;Deaths;2020-05-29;1;3.9339,-53.1258
France;French Guiana;Deaths;2020-09-23;65;3.9339,-53.1258
France;French Polynesia;Deaths;2020-03-12;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-03-30;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-09-13;2;-17.6797,149.4068
France;French Polynesia;Deaths;2020-03-29;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-04-18;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-03-05;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-02-25;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-09-05;0;-17.6797,149.4068
France;French Polynesia;Deaths;2020-06-05;0;-17.6797,149.4068
France;Guadeloupe;Deaths;2020-09-03;18;16.265,-61.551
France;Guadeloupe;Deaths;2020-08-05;14;16.265,-61.551
France;Guadeloupe;Deaths;2020-02-21;0;16.265,-61.551
France;Guadeloupe;Deaths;2020-04-17;8;16.265,-61.551
France;Guadeloupe;Deaths;2020-04-05;7;16.265,-61.551
France;Guadeloupe;Deaths;2020-03-17;0;16.265,-61.551
France;Guadeloupe;Deaths;2020-06-20;14;16.265,-61.551
France;Guadeloupe;Deaths;2020-08-20;15;16.265,-61.551
France;Guadeloupe;Deaths;2020-03-03;0;16.265,-61.551
France;Guadeloupe;Deaths;2020-03-05;0;16.265,-61.551
France;Guadeloupe;Deaths;2020-07-07;14;16.265,-61.551
France;Guadeloupe;Deaths;2020-07-20;14;16.265,-61.551
France;Guadeloupe;Deaths;2020-03-22;1;16.265,-61.551
France;Martinique;Deaths;2020-04-27;14;14.6415,-61.0242
France;French Guiana;Confirmed;2020-02-23;0;3.9339,-53.1258
France;French Guiana;Confirmed;2020-08-07;8204;3.9339,-53.1258
France;French Guiana;Confirmed;2020-07-10;5704;3.9339,-53.1258
France;French Guiana;Confirmed;2020-05-18;210;3.9339,-53.1258
France;French Guiana;Confirmed;2020-05-14;164;3.9339,-53.1258
France;French Guiana;Confirmed;2020-03-09;5;3.9339,-53.1258
France;French Polynesia;Confirmed;2020-04-03;39;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-08-17;211;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-03-23;18;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-02-19;0;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-02-07;0;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-03-27;30;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-08-13;139;-17.6797,149.4068
France;French Polynesia;Confirmed;2020-03-10;0;-17.6797,149.4068
France;Guadeloupe;Confirmed;2020-09-26;4487;16.265,-61.551
France;Martinique;Deaths;2020-08-27;16;14.6415,-61.0242
France;Martinique;Deaths;2020-06-12;14;14.6415,-61.0242
France;Martinique;Deaths;2020-05-05;14;14.6415,-61.0242
France;Martinique;Deaths;2020-06-26;14;14.6415,-61.0242
France;Martinique;Deaths;2020-08-20;16;14.6415,-61.0242
France;Martinique;Deaths;2020-06-05;14;14.6415,-61.0242
France;Martinique;Deaths;2020-09-23;20;14.6415,-61.0242
France;Martinique;Deaths;2020-04-13;6;14.6415,-61.0242
France;Mayotte;Deaths;2020-09-11;40;-12.8275,45.166244
France;Mayotte;Deaths;2020-02-05;0;-12.8275,45.166244
France;Mayotte;Deaths;2020-08-12;39;-12.8275,45.166244
France;Mayotte;Deaths;2020-04-26;4;-12.8275,45.166244
France;Mayotte;Deaths;2020-08-14;39;-12.8275,45.166244
France;Mayotte;Deaths;2020-01-23;0;-12.8275,45.166244
France;Mayotte;Deaths;2020-03-01;0;-12.8275,45.166244
France;Mayotte;Deaths;2020-09-08;40;-12.8275,45.166244
France;New Caledonia;Deaths;2020-08-04;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-04-16;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-04-18;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-09-24;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-09-04;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-08-28;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-06-30;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-06-29;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-09-23;0;-20.904305,165.618042
France;New Caledonia;Deaths;2020-04-13;0;-20.904305,165.618042
France;Reunion;Deaths;2020-08-17;5;-21.1151,55.5364
France;Reunion;Deaths;2020-04-23;0;-21.1151,55.5364
France;Reunion;Deaths;2020-08-13;5;-21.1151,55.5364
France;Reunion;Deaths;2020-08-29;6;-21.1151,55.5364
France;Reunion;Deaths;2020-04-01;0;-21.1151,55.5364
France;Reunion;Deaths;2020-06-14;1;-21.1151,55.5364
France;Saint Barthelemy;Deaths;2020-08-08;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-05-02;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-09-10;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-07-10;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-05-18;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-05-13;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-06-10;0;17.9,-62.8333
France;Saint Barthelemy;Deaths;2020-08-22;0;17.9,-62.8333
France;Saint Pierre and Miquelon;Deaths;2020-07-24;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-09-03;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-07-22;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-07-31;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-09-02;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-05-19;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-05-09;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-01-31;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-05-18;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-09-17;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-09-23;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-08-18;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-05-06;0;46.8852,-56.3159
France;Saint Pierre and Miquelon;Deaths;2020-07-01;0;46.8852,-56.3159
France;St Martin;Deaths;2020-04-27;3;18.0708,-63.0501
France;St Martin;Deaths;2020-06-17;3;18.0708,-63.0501
France;St Martin;Deaths;2020-02-19;0;18.0708,-63.0501
France;St Martin;Deaths;2020-09-10;6;18.0708,-63.0501
France;St Martin;Deaths;2020-09-01;5;18.0708,-63.0501
France;St Martin;Deaths;2020-04-04;2;18.0708,-63.0501
France;St Martin;Deaths;2020-03-17;0;18.0708,-63.0501
France;St Martin;Deaths;2020-03-04;0;18.0708,-63.0501
France;;Deaths;2020-05-04;25168;46.2276,2.2137
France;;Deaths;2020-05-18;28193;46.2276,2.2137
France;;Deaths;2020-08-06;30185;46.2276,2.2137
France;;Deaths;2020-09-05;30575;46.2276,2.2137
France;;Deaths;2020-05-30;28720;46.2276,2.2137
France;French Guiana;Recovered;2020-03-15;0;3.9339,-53.1258
France;French Guiana;Recovered;2020-06-02;207;3.9339,-53.1258
France;French Guiana;Recovered;2020-07-18;4272;3.9339,-53.1258
France;French Guiana;Recovered;2020-06-05;321;3.9339,-53.1258
France;French Guiana;Recovered;2020-09-16;9235;3.9339,-53.1258
France;French Guiana;Recovered;2020-07-01;1602;3.9339,-53.1258
France;French Guiana;Recovered;2020-08-24;8363;3.9339,-53.1258
France;French Polynesia;Recovered;2020-07-27;60;-17.6797,149.4068
France;French Polynesia;Recovered;2020-04-23;36;-17.6797,149.4068
France;French Polynesia;Recovered;2020-04-19;2;-17.6797,149.4068
France;French Polynesia;Recovered;2020-04-16;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-04-08;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-01-28;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-03-31;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-02-20;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-01-31;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-04-06;0;-17.6797,149.4068
France;French Polynesia;Recovered;2020-03-10;0;-17.6797,149.4068
France;Guadeloupe;Recovered;2020-06-06;144;16.265,-61.551
France;Guadeloupe;Recovered;2020-04-03;24;16.265,-61.551
France;Guadeloupe;Recovered;2020-04-22;73;16.265,-61.551
France;Guadeloupe;Recovered;2020-08-25;289;16.265,-61.551
France;Guadeloupe;Recovered;2020-02-21;0;16.265,-61.551
France;Guadeloupe;Recovered;2020-06-04;138;16.265,-61.551
France;Guadeloupe;Recovered;2020-03-05;0;16.265,-61.551
France;Guadeloupe;Recovered;2020-03-02;0;16.265,-61.551
France;Guadeloupe;Recovered;2020-08-11;186;16.265,-61.551
France;Guadeloupe;Recovered;2020-08-22;289;16.265,-61.551
France;Martinique;Recovered;2020-08-29;98;14.6415,-61.0242
France;Martinique;Recovered;2020-04-01;27;14.6415,-61.0242
France;Martinique;Recovered;2020-02-26;0;14.6415,-61.0242
France;Mayotte;Recovered;2020-06-16;2058;-12.8275,45.166244
France;Mayotte;Recovered;2020-07-28;2672;-12.8275,45.166244
France;Mayotte;Recovered;2020-01-30;0;-12.8275,45.166244
France;Mayotte;Recovered;2020-08-30;2964;-12.8275,45.166244
France;Mayotte;Recovered;2020-02-17;0;-12.8275,45.166244
France;Mayotte;Recovered;2020-05-19;627;-12.8275,45.166244
France;Mayotte;Recovered;2020-06-28;2218;-12.8275,45.166244
France;Mayotte;Recovered;2020-08-28;2964;-12.8275,45.166244
France;Mayotte;Recovered;2020-06-15;2058;-12.8275,45.166244
France;Mayotte;Recovered;2020-09-19;2964;-12.8275,45.166244
France;Mayotte;Recovered;2020-02-26;0;-12.8275,45.166244
France;New Caledonia;Recovered;2020-03-12;0;-20.904305,165.618042
France;New Caledonia;Recovered;2020-01-27;0;-20.904305,165.618042
France;New Caledonia;Recovered;2020-03-30;0;-20.904305,165.618042
France;New Caledonia;Recovered;2020-03-20;0;-20.904305,165.618042
France;New Caledonia;Recovered;2020-07-12;21;-20.904305,165.618042
France;New Caledonia;Recovered;2020-02-10;0;-20.904305,165.618042
France;New Caledonia;Recovered;2020-08-18;22;-20.904305,165.618042
France;New Caledonia;Recovered;2020-06-14;20;-20.904305,165.618042
France;New Caledonia;Recovered;2020-08-24;23;-20.904305,165.618042
France;Reunion;Recovered;2020-04-15;237;-21.1151,55.5364
France;Reunion;Recovered;2020-07-04;472;-21.1151,55.5364
France;Reunion;Recovered;2020-02-27;0;-21.1151,55.5364
France;Reunion;Recovered;2020-03-18;0;-21.1151,55.5364
France;Reunion;Recovered;2020-02-12;0;-21.1151,55.5364
